Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Cameron Williams,42.0,11066.8,0,7.22,8.0,2013-08-30 07:00:40,"10265 Elizabeth Mission
Barkerburgh, AK 89518",Harvey LLC,1
Kevin Mueller,41.0,11916.22,0,6.5,11.0,2013-08-13 00:38:46,"6157 Frank Gardens Suite 019
Carloshaven, RI 17756",Wilson PLC,1
Eric Lozano,38.0,12884.75,0,6.67,12.0,2016-06-29 06:20:07,"1331 Keith Court
Alyssahaven, DE 90114","Miller, Johnson and Wallace",1
Phillip White,42.0,8010.76,0,6.71,10.0,2014-04-22 12:43:12,"13120 Daniel Mount
Angelabury, WY 30645-4695",Smith Inc,1
Cynthia Norton,37.0,9191.58,0,5.56,9.0,2016-01-19 15:31:15,"765 Tricia Row
Karenshire, MH 71730",Love-Jones,1
Jessica Williams,48.0,10356.02,0,5.12,8.0,2009-03-03 23:13:37,"6187 Olson Mountains
East Vincentborough, PR 74359",Kelly-Warren,1
Eric Butler,44.0,11331.58,1,5.23,11.0,2016-12-05 03:35:43,"4846 Savannah Road
West Justin, IA 87713-3460",Reynolds-Sheppard,1
Zachary Walsh,32.0,9885.12,1,6.92,9.0,2006-03-09 14:50:20,"25271 Roy Expressway Suite 147
Brownport, FM 59852-6150",Singh-Cole,1
Ashlee Carr,43.0,14062.6,1,5.46,11.0,2011-09-29 05:47:23,"3725 Caroline Stravenue
South Christineview, MA 82059",Lopez PLC,1
Jennifer Lynch,40.0,8066.94,1,7.11,11.0,2006-03-28 15:42:45,"363 Sandra Lodge Suite 144
South Ann, WI 51655-7561",Reed-Martinez,1
Paula Harris,30.0,11575.37,1,5.22,8.0,2016-11-13 13:13:01,"Unit 8120 Box 9160
DPO AA 43432","Briggs, Lamb and Mathews",1
Bruce Phillips,45.0,8771.02,1,6.64,11.0,2015-05-28 12:14:03,"Unit 1895 Box 0949
DPO AA 40249",Figueroa-Maynard,1
Craig Garner,45.0,8988.67,1,4.84,11.0,2011-02-16 08:10:47,"897 Kelley Overpass Suite 349
West Rebekahport, AZ 44793",Abbott-Thompson,1
Nicole Olson,40.0,8283.32,1,5.1,13.0,2012-11-22 05:35:03,"11488 Weaver Cape
Hernandezberg, WI 63417-8544","Smith, Kim and Marshall",1
Harold Griffin,41.0,6569.87,1,4.3,11.0,2015-03-28 02:13:44,"1774 Peter Row Apt. 712
New Autumn, MT 18782","Snyder, Lee and Morris",1
James Wright,38.0,10494.82,1,6.81,12.0,2015-07-22 08:38:40,"45408 David Path
East Kimberlyshire, HI 54903-6698",Sanders-Pierce,1
Doris Wilkins,45.0,8213.41,1,7.35,11.0,2006-09-03 06:13:55,"28216 Wright Mount Apt. 356
Alichester, DE 40999-2369","Andrews, Adams and Davis",1
Katherine Carpenter,43.0,11226.88,0,8.08,12.0,2006-10-22 04:42:38,"Unit 4948 Box 4814
DPO AP 42669","Morgan, Phillips and Harrell",1
Lindsay Martin,53.0,5515.09,0,6.85,8.0,2015-10-07 00:27:10,"69203 Crosby Divide Apt. 878
Parkerview, CO 87064",Villanueva LLC,1
Kathy Curry,46.0,8046.4,1,5.69,8.0,2014-11-06 23:47:14,"9569 Caldwell Crescent
Tanyaborough, RI 30637","Berry, Orr and Cabrera",1
Dean Miller,41.0,9771.22,0,5.81,11.0,2013-05-30 00:42:13,"803 Kelli Crossing Apt. 169
Jimenezberg, WV 56530-4240",Parks-Bradley,1
Kevin Ramos,56.0,12217.95,1,5.79,11.0,2016-11-17 14:37:01,"5775 Jared Stream Apt. 881
Port Jenniferfort, CO 63506-4063",Olsen LLC,1
Jennifer Wood,35.0,9381.12,1,6.78,11.0,2006-03-27 20:52:42,"1493 Phillips Haven
Lake William, FM 00995-2870","Clark, Campbell and Armstrong",1
