Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Allison Love,23.0,1765.96,0,5.47,11.0,2016-10-07 19:50:34,"026 Margaret Row
West Anthonytown, SC 29964",Castro-Hodges,0
Richard Tran,22.0,1367.05,1,5.54,13.0,2010-12-24 16:22:30,"40092 Wendy Shoals
East Karen, NH 05091-2643",Miller and Sons,0
Jason Garcia,46.0,661.14,0,12.29,7.0,2006-04-06 14:34:55,"611 Jeanette Square
Port David, KS 16373-9163",Green-Gutierrez,1
Dustin Reid,21.0,1916.6,0,3.76,12.0,2009-12-03 17:58:27,"567 Michael Bridge
Taylorfort, GU 09754-1156",Duncan-Bell,0
Phillip Johnson,63.0,630.5,0,12.43,8.0,2015-12-06 05:18:38,"4497 Seth Parks
Jodiburgh, NM 57778",Mcdonald LLC,1
Mr. Dennis Rocha,20.0,1114.13,1,3.63,11.0,2006-12-03 15:22:36,"490 Fry Plaza Apt. 210
Port Marcusville, MT 69958",Stout-Reed,0
Dustin Newton,26.0,1609.79,1,4.7,12.0,2015-04-20 01:05:19,"4607 Jackson Ranch
Lake Stevenchester, MN 47394-4148","Dominguez, Richardson and Bowers",0
Jason Phillips,62.0,802.89,1,12.92,6.0,2007-06-25 14:32:48,"Unit 9643 Box 0561
DPO AA 81631",Reed-Davis,1
Patricia Keith,61.0,658.78,1,12.44,7.0,2006-08-09 07:12:49,"351 Ryan Ways
West Andrewborough, MN 02958-4888",Briggs-Brown,1
Patricia Haney,26.0,1491.78,0,3.55,10.0,2006-08-31 09:04:35,"5023 Reynolds Freeway
North Kimberly, KS 69122-0810",Mullins and Sons,0
Alisha Carr,50.0,741.89,1,11.6,7.0,2015-08-09 11:56:01,"9116 Miranda Flats Suite 832
East Gregory, AK 07077","Cox, Marshall and Bender",1
Carrie Anderson,19.0,1116.74,0,3.84,13.0,2012-05-12 18:50:57,"512 Gonzalez Circle Apt. 417
Gallegosmouth, OK 12659-0580","Caldwell, Lane and Mason",0
Vanessa Davis,14.0,1530.97,0,5.21,10.0,2016-02-15 14:48:20,"42907 Laura Fork Suite 265
Zacharystad, PW 51894-8796","White, Jacobs and Vincent",0
Darlene Delacruz,17.0,1653.72,1,5.75,11.0,2013-06-24 01:41:44,"USS Colon
FPO AE 81489","Thompson, Thomas and Baker",0
Jennifer Gallegos,24.0,1572.44,1,5.29,11.0,2010-08-05 01:02:36,"2278 Martin Throughway Apt. 230
North Isaiah, DC 94199",Johnson-Copeland,0
Jordan Lester,52.0,920.48,0,11.5,6.0,2014-04-30 15:13:48,"6058 Stephanie Lodge
Amandaberg, AR 08395","Robertson, Serrano and King",1
Benjamin Phillips,28.0,1533.49,0,4.36,12.0,2008-08-12 21:46:10,"4820 Monique Hill
Robertfort, NM 47344",Lawson-Flowers,0
Peter Melendez,55.0,534.07,0,12.48,7.0,2014-03-07 15:42:11,"1671 Jessica Grove Apt. 184
West Jessicaside, ME 82804-1041",Travis Inc,1
Kelly Oconnor,49.0,739.24,0,12.58,7.0,2016-01-11 13:11:45,"1366 Christopher Points
North Carrie, OK 55898","Mcgrath, Hebert and Ramos",1
Maria Lewis,22.0,1298.41,1,4.02,13.0,2011-10-22 21:06:19,"USNV Myers
FPO AP 34419-8407",Cole-Hoffman,0
Curtis Roman,29.0,1680.96,1,4.97,13.0,2010-05-26 18:34:40,"79572 Michael Trafficway
Port Jesuschester, MH 17558",Kelly and Sons,0
Christine White,40.0,813.46,1,13.15,6.0,2012-09-18 12:58:45,"17023 Morales Terrace Apt. 007
Port Michael, MI 93493",Richardson Group,1
Brittany Gardner,48.0,422.37,0,12.45,5.0,2010-11-29 09:46:52,"Unit 4191 Box 9165
DPO AP 43565","Hart, Doyle and Davis",1
William Rodriguez,52.0,625.07,0,13.51,6.0,2013-07-28 01:23:34,"055 Carlos Rest
Port Elizabeth, AL 30506-6853",Cunningham-Mcintyre,1
Donna Burgess,53.0,594.86,1,12.41,6.0,2007-03-16 04:01:35,"4731 Le Corners
Flowersview, TX 09923",Davis-Martinez,1
Katherine Silva,24.0,1213.81,0,4.78,12.0,2006-12-08 04:56:20,"5319 Butler Stravenue
Simpsonstad, NE 35432","Moses, Stevens and Mcmillan",0
Debra Jones,50.0,476.41,1,12.73,7.0,2014-01-14 10:05:23,"424 Obrien Fort Suite 989
Hannaville, AS 13744",Smith PLC,1
Lisa May,29.0,1947.04,0,4.09,9.0,2010-07-03 10:08:49,"6043 Jason Key Suite 663
Howellburgh, WY 04243",Miller-Hawkins,0
Jean Clark,51.0,724.25,1,12.34,5.0,2010-07-08 04:05:51,"43109 Christopher Burgs
Jennaside, AK 44405","Carter, Soto and Suarez",1
Kathryn Anderson,20.0,1623.55,0,5.23,10.0,2016-08-15 23:49:35,"PSC 8485, Box 7083
APO AP 15118","Dougherty, Adams and Scott",0
Megan Perkins,48.0,1054.8,0,12.37,5.0,2007-09-20 07:49:45,"79032 Cooke Island Suite 622
Lake Luisfurt, ID 51680",Fowler Ltd,1
Bernard Franklin,29.0,1699.89,0,4.4,11.0,2008-03-11 12:46:11,"166 Davis Flats
Lake Traceyshire, CA 00217",Rojas-Reese,0
Caitlin Jefferson,60.0,773.41,1,12.62,5.0,2010-09-02 23:40:10,"4342 Brian Rapid
South Sergiobury, NM 64965",Roberts Group,1
Jessica Torres,28.0,1151.04,1,4.43,12.0,2013-02-07 13:22:33,"904 Scott Islands Suite 373
Lynchton, MO 83227-7237",Benjamin and Sons,0
Samuel Allen,59.0,700.12,1,11.71,7.0,2014-11-09 01:56:03,"Unit 3778 Box 6619
DPO AP 04538",Johnston-Mckenzie,1
Anthony Perry,23.0,1548.06,1,4.31,10.0,2007-10-27 00:35:15,"519 Wright Junction
West Anthony, KY 14837","Myers, Cummings and Garcia",0
Andrea Blair,22.0,1559.16,1,4.8,10.0,2016-09-07 23:05:38,"USNV Baxter
FPO AP 49737",Obrien Inc,0
Brandon Hogan,46.0,771.44,0,12.45,8.0,2006-10-08 08:07:36,"659 Bailey Burg
Ashleyview, PA 86736-3108","Miranda, Buchanan and Butler",1
Paul Roy,20.0,1594.99,1,6.47,10.0,2016-05-08 18:55:09,"8747 Myers Coves Suite 294
West Johnville, ID 67109",Cook-Rogers,0
Jose Fox,45.0,397.38,1,12.33,7.0,2012-04-19 10:35:35,"007 Jonathan Mountain Apt. 086
South Alicia, DC 48970",Clark-Jackson,1
Joann Sanchez,49.0,559.45,1,12.68,6.0,2009-02-20 17:24:22,"53162 Jeremy Manor Suite 010
West Heather, AZ 82096","Fuentes, Gilbert and Martinez",1
Richard Keller,19.0,1376.55,1,5.02,9.0,2010-07-30 01:11:14,"445 Holt Hill
Port Melody, DC 61876-3603",Moore and Sons,0
Phillip Rodriguez,27.0,1507.41,0,4.48,13.0,2013-04-04 14:23:03,"40565 Howard Stravenue
Nicolemouth, KY 91234-2338",Aguirre-Torres,0
Dr. Michael Richardson,55.0,885.34,0,12.62,6.0,2008-05-10 05:30:55,"525 Charles Wall Suite 258
West Laurie, FL 71312-6771",Hughes-Romero,1
Katherine Gordon,29.0,1592.45,1,4.7,13.0,2013-11-22 18:17:52,"PSC 0315, Box 6389
APO AA 91162","Phelps, Chang and Lambert",0
David Jackson,26.0,1336.94,0,3.88,12.0,2006-05-18 00:45:19,"46727 Lopez Cliff Suite 911
Cameronbury, IA 82165-4835",Hickman Group,0
Christopher Carson,33.0,1228.82,0,3.42,11.0,2008-12-04 16:48:25,"137 Taylor Pines
Port Nicholas, DC 62610","Cole, Chavez and Payne",0
Cassandra Russell,31.0,1558.29,1,3.5,9.0,2013-08-26 19:23:33,"301 Chandler Mill Apt. 625
Port Ryan, DC 43286-2543",Roth-Weaver,0
Joanne Snyder,25.0,1528.61,0,4.48,10.0,2012-04-18 00:22:40,"00918 Suzanne Isle
Thompsonville, WA 42062",Butler-Gill,0
James Brewer,50.0,722.82,1,12.48,7.0,2007-02-17 18:56:31,"187 Jackson Valley
Stuartchester, MO 73394","Henderson, Turner and Parker",1
Kristy Webb,59.0,685.95,0,12.57,9.0,2006-03-20 02:48:27,"290 Brian Fort Suite 019
Lake Geraldfurt, PR 96643-9605",Flowers Ltd,1
Edward Williams,30.0,1388.28,1,6.07,10.0,2013-06-26 02:31:59,"410 Brenda Station Apt. 371
Hubbardport, KS 53208",Wilson-Neal,0
Mandy Turner,49.0,707.46,1,12.84,5.0,2015-06-10 19:49:06,"9909 Andrew Way
West Jody, CO 18578",Johnson-Richardson,1
Anthony Powell,17.0,1505.39,0,4.89,11.0,2010-01-03 06:34:00,"3439 Daniel Canyon Suite 361
Millerbury, OH 40572",Smith-Sanders,0
Wendy Jefferson,64.0,817.34,0,12.85,7.0,2014-03-20 21:58:41,"Unit 0307 Box 2587
DPO AA 20449",Williams-Simon,1
Melissa Harris,26.0,1852.68,0,4.01,10.0,2008-02-22 12:30:05,"52177 Williams Lodge Apt. 284
Onealburgh, NM 19751",Murillo Ltd,0
Jennifer Brown,50.0,914.08,0,11.64,6.0,2013-02-12 02:31:05,"138 Andrea Spur Apt. 612
Nathanfurt, CA 02380",Brown Inc,1
Micheal Johnson,31.0,1408.51,0,3.51,11.0,2015-02-20 13:56:53,"358 John Unions
East Jamesport, OK 12984",Pearson PLC,0
Robert Farrell,32.0,1593.16,0,3.98,12.0,2011-06-30 07:32:37,"35289 Smith View
East Melissamouth, AZ 96469-4376",Wallace-Salinas,0
Katherine Baxter,59.0,598.51,0,13.69,9.0,2007-09-07 20:55:06,"06117 Roman Lights
East Taratown, WY 84886-0104","Jackson, Luna and Parker",1
Nancy Edwards,54.0,541.59,0,13.58,5.0,2006-06-16 12:09:48,"1206 Matthew Dam
Gracebury, GU 32231-3986",Gonzales-Quinn,1
Jane Kelley,50.0,1146.09,1,14.32,5.0,2016-09-05 15:17:25,"00476 Kennedy Radial Apt. 761
New Mariah, AR 77361","Martin, Thomas and Hill",1
Frank Smith,24.0,1314.44,1,4.37,10.0,2011-04-15 23:24:38,"95630 Matthew Ridges Suite 745
Pricehaven, WA 83965-0608",Brown Group,0
Timothy Lambert,22.0,1536.57,0,5.07,11.0,2007-11-20 20:31:23,"745 Clarke Ferry Apt. 866
North Robertostad, GA 41278",Simpson-Walsh,0
Mark Rios,32.0,1615.61,0,3.98,13.0,2014-11-05 13:03:55,"40668 James Lakes
Rayton, HI 75543",Robinson LLC,0
Michelle Tran,25.0,1324.62,1,2.99,12.0,2010-01-13 18:36:20,"7987 Garcia Extension
Lake Scott, MP 76491","Farmer, Nguyen and Hicks",0
Keith Jones,26.0,1468.04,1,4.9,12.0,2009-09-13 19:50:09,"38571 Rodney Curve Apt. 763
South Carla, OR 96702","Dalton, Moore and Pugh",0
Cynthia Anthony,55.0,804.08,1,13.14,6.0,2007-03-16 11:57:34,"97796 Barker Gateway
Kyleview, MO 18139-1346",Bender LLC,1
Courtney Smith,57.0,523.27,1,13.07,5.0,2011-10-03 00:48:56,"24526 Victoria Trace Suite 891
Thomasfurt, FL 37682","Cole, Richardson and Henry",1
Allison Parker,58.0,874.96,0,12.94,7.0,2015-09-01 06:00:20,"968 Evan Loaf
Austinside, GU 78082",Lee-Ramos,1
Debra Cox,52.0,887.11,1,13.3,7.0,2006-04-19 16:30:37,"5203 Farley Place Suite 330
West Nicholas, CA 29553",Cordova Inc,1
